#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Make sure that this file in encoded in ANSI;;;;;;;;;;;;;;
#The society name;;;;;;;;;;;;;;
tutorial_society;The Kirin Tor;;;;;;;;;;;;;x
string_tutorial_society;tutorial_society;;;;;;;;;;;;;x
#The society description;;;;;;;;;;;;;;
tutorial_society_desc;The Kirin Tor is an elite cadre of the most powerful wizards in the known world.;;;;;;;;;;;;;x
#Leader description;;;;;;;;;;;;;;
tutorial_society_leader_desc;The description of the leader of the society.;;;;;;;;;;;;;x
#Name of the ranks;;;;;;;;;;;;;;
tutorial_society_rank_1_female;Apprentice;;;;;;;;;;;;;x
tutorial_society_rank_2_female;Evoker;;;;;;;;;;;;;x
tutorial_society_rank_3_female;Magistrix;;;;;;;;;;;;;x
tutorial_society_rank_4_female;Archmage;;;;;;;;;;;;;x
tutorial_society_rank_1_male;Apprentice;;;;;;;;;;;;;x
tutorial_society_rank_2_male;Evoker;;;;;;;;;;;;;x
tutorial_society_rank_3_male;Magister;;;;;;;;;;;;;x
tutorial_society_rank_4_male;Archmage;;;;;;;;;;;;;x
#Name of the currency;;;;;;;;;;;;;;
tutorial_society_currency;Arcane power;;;;;;;;;;;;;x
#Rank up button name;;;;;;;;;;;;;;
request_to_rank_up_within_tutorial_society;Request to rank up.;;;;;;;;;;;;;x
#For tooltip that require being a member;;;;;;;;;;;;;;
IS_tutorial_society_TRIGGER;Is a member of the Tutorial Society.;;;;;;;;;;;;;x
#Rank up decision if you made a custom one, alongside the required custom_local;;;;;;;;;;;;;;
request_to_rank_up_within_tutorial_society;Request a Promotion.;;;;;;;;;;;;;x
request_to_rank_up_within_tutorial_society_tt;Has §Y[Root.Society.GetCurrency]§! greater or equal to [Root.GetSocietyRankUpTooltip1];;;;;;;;;;;;;x
GetTutorialRankUpTooltip_Standard_Rank1;§Y[Root.Society.GetCurrency]§!;;;;;;;;;;;;;x
GetTutorialRankUpTooltip_Standard_Rank2;§Y[Root.Society.GetCurrency]§!;;;;;;;;;;;;;x
GetTutorialRankUpTooltip_Standard_Rank3;§Y[Root.Society.GetCurrency]§!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;
#Name of the decision;;;;;;;;;;;;;;
tutorial_society_power_1;Hire Kirin Tor mage;;;;;;;;;;;;;x
#Tooltip of the decision;;;;;;;;;;;;;;
tutorial_society_power_1_desc;Ask a mage of the Kirin Tor to join your court.;;;;;;;;;;;;;x
#Tooltip of the decision in the society menu;;;;;;;;;;;;;;
